event_id,domain,event_year,institution,event_type,policy_or_case,adoption_object,attitude_axis,benchmark_question,predicted_time_profile,source_url,notes
US-1933-GLASS-STEAGALL,finance,1933,Congress,adoption,Banking Act of 1933,Create FDIC and separate commercial from investment banking,financial stability; anti-speculation; public insurance,Should federal law insure deposits and restrict bank-securities affiliations?,High after Depression; later declines for separation by 1980s-1990s,https://www.federalreservehistory.org/essays/glass-steagall-act,Pairs naturally with 1999 GLBA repeal probe.
US-1933-PROHIBITION-REPEAL,morals_federalism,1933,constitutional_amendment,adoption,Twenty-first Amendment,Repeal national alcohol prohibition and return alcohol regulation to states,moral regulation; federalism; personal liberty,Would a national repeal of Prohibition be viewed as legitimate and politically adoptable?,High around 1930-1940; useful as early validation rather than late-adoption test,https://www.senate.gov/about/resources/pdf/twenty-first-amendment-nara.pdf,Good check that period text captures anti-Prohibition shift already underway.
US-1933-SECURITIES-ACT,finance_consumer_protection,1933,Congress,adoption,Securities Act of 1933,Require registration and disclosure for public securities offerings,investor protection; disclosure; anti-fraud; market confidence,Should federal law require securities issuers to disclose material information and register public offerings?,Low before the crash; high after 1929 and early New Deal financial reform,https://www.law.cornell.edu/wex/securities_act_of_1933,High-priority omission from v1; pairs with 1934 Exchange Act and later financial regulation.
US-1934-EXCHANGE-ACT,finance_state_capacity,1934,Congress,adoption,Securities Exchange Act of 1934,Create the SEC and regulate securities exchanges and secondary-market trading,expert regulation; anti-fraud; market structure; federal oversight,Should Congress create a federal commission to regulate securities exchanges and police securities fraud?,Low before the crash; high in the New Deal; contested during deregulatory periods,https://www.sec.gov/rules-regulations/2020/11/securities-exchange-act-1934,Core New Deal market-regulation event.
US-1934-IRA,native_policy,1934,Congress,adoption,Indian Reorganization Act,End allotment era and support tribal self-government structures,assimilation vs tribal sovereignty,Should federal Indian policy shift from allotment and assimilation toward tribal self-government?,Should rise in 1930s; weak in termination-era 1950s; rise again by 1970s,https://www.archives.gov/research/native-americans/indian-reorganization-act,Useful for non-race civil-rights sovereignty dimension.
US-1934-NATIONAL-HOUSING-ACT,housing_finance,1934,Congress,adoption,National Housing Act of 1934,Create the Federal Housing Administration and federal mortgage insurance,homeownership; mortgage finance; state-backed credit; racialized housing markets,Should federal policy insure mortgages and standardize long-term home finance to expand homeownership?,High in New Deal housing-finance reconstruction; later evaluated through race and credit-market consequences,https://www.hud.gov/aboutus/fhahistory,Adds housing-credit state capacity missing from v1.
US-1935-NIRA-SCHECHTER,state_capacity,1935,Supreme Court,judicial_invalidation,A.L.A. Schechter Poultry Corp. v. United States,Invalidate NIRA industrial codes on delegation and commerce grounds,administrative state; commerce power; separation of powers,Would broad presidential industry-code authority survive constitutional review?,1930 model may be ambiguous; post-1935 should know limits; post-1942 more permissive on commerce but not nondelegation,https://www.law.cornell.edu/wex/schechter_poultry_corp._v._united_states_%281935%29,Court-blocked policy path.
US-1935-NLRA,labor,1935,Congress,adoption,National Labor Relations Act,Protect collective bargaining and create NLRB,labor power; union legitimacy; industrial peace,Should federal law guarantee private-sector employees the right to organize and bargain collectively?,Low-to-medium before New Deal; high by late 1930s-1950s; contested after 1970s,https://www.archives.gov/milestone-documents/national-labor-relations-act,Core labor benchmark.
US-1935-SOCIAL-SECURITY,social_insurance,1935,Congress,adoption,Social Security Act,Create federal old-age insurance and unemployment insurance framework,social insurance; poverty; federal responsibility,Should the federal government provide old-age and unemployment social insurance?,Low-to-medium in 1930; sharply higher after Depression and New Deal,https://www.archives.gov/milestone-documents/social-security-act,Anchor for welfare-state emergence.
US-1936-AAA-BUTLER,state_capacity,1936,Supreme Court,judicial_invalidation,United States v. Butler,Invalidate Agricultural Adjustment Act processing-tax scheme,federalism; spending power; farm stabilization,Could Congress tax processors to fund production controls in agriculture?,Should be constitutionally vulnerable in 1930s; less vulnerable after later spending-power settlement,https://supreme.justia.com/cases/federal/us/297/1/,Court-blocked New Deal policy.
US-1937-JONES-LAUGHLIN,labor_state_capacity,1937,Supreme Court,judicial_validation,NLRB v. Jones & Laughlin Steel Corp.,Uphold the National Labor Relations Act under the Commerce Clause,union rights; federal commerce power; industrial relations,Should federal protection of collective bargaining survive a Commerce Clause challenge?,Low before 1937; high after the constitutional switch; contested in later federalism eras,https://supreme.justia.com/cases/federal/us/301/1/,Court-validation pair for NLRA.
US-1937-WEST-COAST-HOTEL,labor,1937,Supreme Court,judicial_validation,West Coast Hotel v. Parrish,Uphold state minimum wage regulation,liberty of contract; labor standards; gendered protection,Should minimum wage laws survive due process challenges?,Weak before 1937; stronger after constitutional switch and FLSA,https://www.oyez.org/cases/1900-1940/300us379,Good judicial-regime shift probe.
US-1938-FDCA,consumer_health,1938,Congress,adoption,Federal Food Drug and Cosmetic Act,Require stronger federal oversight of food drugs and cosmetics,consumer protection; expert regulation; safety,Should federal law require premarket safety oversight for drugs and stronger food and cosmetic regulation?,High after 1930s safety scandals; remains high,https://www.fda.gov/about-fda/fda-history-research-tools/selected-food-drug-cosmetic-device-and-tobacco-laws,Consumer-protection anchor.
US-1938-FLSA,labor,1938,Congress,adoption,Fair Labor Standards Act,Create federal minimum wage overtime and child-labor standards,labor standards; federal commerce power,Should federal law set national minimum wages maximum hours and child-labor restrictions?,Rises from 1930 to late 1930s; remains central but contested,https://www.dol.gov/general/aboutdol/history/flsa1938,Pairs with West Coast Hotel and Darby/Wickard.
US-1941-EO8802,civil_rights,1941,President,executive_order,Executive Order 8802,Ban racial discrimination in defense-industry employment and create FEPC,race; war mobilization; employment equality,Should the President bar racial discrimination by defense contractors during mobilization?,Higher during WWII than 1930; precursor to later civil-rights statutes,https://www.archives.gov/federal-register/executive-orders/1941.html,Executive-action civil-rights bridge.
US-1942-WICKARD,state_capacity,1942,Supreme Court,judicial_validation,Wickard v. Filburn,Uphold federal crop quotas under broad Commerce Clause theory,commerce power; national markets; federal capacity,May Congress regulate local production for home use because of aggregate effects on interstate markets?,Low before 1937; high by 1940s-1970s; partially retrenched in 1990s,https://supreme.justia.com/cases/federal/us/317/111/,Important for constitutional feasibility of later regulation.
US-1944-GI-BILL,veterans_education_housing,1944,Congress,adoption,Servicemen's Readjustment Act of 1944,Provide veterans' education benefits unemployment support and home/business loan guarantees,veterans; education; homeownership; social citizenship; racial administration,Should the federal government provide broad education and housing-credit benefits to returning veterans?,Low-to-medium before WWII; high during wartime/postwar demobilization planning,https://www.archives.gov/milestone-documents/servicemens-readjustment-act,Major missing social-policy and housing event.
US-1944-KOREMATSU,civil_liberties_security,1944,Supreme Court,judicial_validation,Korematsu v. United States,Uphold wartime exclusion of Japanese Americans,national security; race; civil liberties,Would wartime mass exclusion based on Japanese ancestry be upheld as military necessity?,High during WWII; should fall sharply in postwar civil-rights era; formally repudiated later,https://www.oyez.org/cases/1940-1955/323us214,Useful reversal/backlash case.
US-1946-EMPLOYMENT-ACT,macroeconomic_governance,1946,Congress,adoption,Employment Act of 1946,Commit federal government to promote maximum employment production and purchasing power,macroeconomic management; federal responsibility,Should Congress declare federal responsibility for full employment and macroeconomic stabilization?,Low pre-Keynesian 1930; high after Depression and WWII,https://www.federalreservehistory.org/essays/employment-act-of-1946,Pairs with 1978 Humphrey-Hawkins.
US-1947-NATIONAL-SECURITY-ACT,security_state,1947,Congress,adoption,National Security Act of 1947,Create the National Security Council CIA and modern national-security institutional structure,Cold War; executive coordination; intelligence; permanent security state,Should the United States create permanent centralized national-security and intelligence institutions after WWII?,Low in 1930 isolationist/limited-state context; high after WWII and early Cold War,https://www.cia.gov/stories/story/ask-molly-the-national-security-act-of-1947/,Adds security-state institutional formation.
US-1947-TAFT-HARTLEY,labor,1947,Congress,adoption,Taft-Hartley Act,Restrict union practices and allow right-to-work laws,labor backlash; business power; union limits,Should federal labor law limit union secondary boycotts closed shops and other union tactics?,Low in mid-1930s labor upsurge; higher after postwar strike wave,https://www.nlrb.gov/about-nlrb/who-we-are/our-history/1947-taft-hartley-substantive-provisions,Backlash/counter-movement benchmark.
US-1948-EO9981,civil_rights,1948,President,executive_order,Executive Order 9981,Desegregate the U.S. Armed Forces,race; military equality; executive power,Should the President order equal treatment and opportunity in the armed services regardless of race?,Weak in 1930; stronger after WWII; high by civil-rights era,https://www.archives.gov/milestone-documents/executive-order-9981,Good precursor to 1954/1964.
US-1952-INA,immigration,1952,Congress,adoption,Immigration and Nationality Act of 1952,Codify immigration law while retaining national-origins quotas,national identity; anti-communism; racialized quotas,Should U.S. immigration law preserve national-origin quotas while consolidating immigration rules?,Likely high in 1930-1950 restrictionist text; should decline by 1960s,https://www.uscis.gov/laws-and-policy/legislation/immigration-and-nationality-act,Contrasts with 1965 Hart-Celler.
US-1952-YOUNGSTOWN,executive_power,1952,Supreme Court,judicial_invalidation,Youngstown Sheet & Tube Co. v. Sawyer,Reject presidential seizure of steel mills absent congressional authorization,executive power; war powers; property; labor conflict,Should the President be allowed to seize private steel mills during wartime labor conflict without statutory authorization?,More plausible during wartime mobilization; invalidation should rise with separation-of-powers constraints,https://supreme.justia.com/cases/federal/us/343/579/,Canonical executive-power constraint.
US-1954-BROWN,civil_rights,1954,Supreme Court,judicial_adoption,Brown v. Board of Education,Hold public-school segregation unconstitutional,race; equality; education; constitutional meaning,Should legally mandated racial segregation in public schools be unconstitutional?,Low in 1930; rising by 1950; high after 1960s national civil-rights settlement,https://brown.oyez.org/home/,Flagship attitude-shift case.
US-1956-HIGHWAY,infrastructure,1956,Congress,adoption,Federal-Aid Highway Act,Create interstate highway financing and construction program,infrastructure; defense; federal-state capacity,Should the federal government finance a national interstate highway system?,Low-to-medium in 1930; high by Cold War 1950s,https://www.fhwa.dot.gov/interstate/faq.cfm,Useful non-rights capacity policy.
US-1957-CIVIL-RIGHTS-ACT,civil_rights_democracy,1957,Congress,adoption,Civil Rights Act of 1957,Create federal civil-rights enforcement machinery and voting-rights tools,race; voting; federal enforcement; civil-rights moderation,Should Congress enact the first post-Reconstruction federal civil-rights statute to support voting-rights enforcement?,Low in 1930; rising after WWII and Brown; precursor to 1964/1965,https://history.house.gov/Historical-Highlights/1951-2000/The-Civil-Rights-Act-of-1957/,Important bridge between Brown and Great Society civil rights.
US-1961-MAPP,criminal_procedure,1961,Supreme Court,judicial_adoption,Mapp v. Ohio,Apply exclusionary rule to states,police power; privacy; due process,Should illegally obtained evidence be excluded in state criminal prosecutions?,Likely weak in 1930-1950; higher during Warren Court era; backlash after 1970s,https://supreme.justia.com/cases/federal/us/367/643/,Criminal procedure liberalization.
US-1962-BAKER,democracy,1962,Supreme Court,judicial_adoption,Baker v. Carr,Make legislative apportionment claims justiciable,democratic equality; courts in politics,Should federal courts hear challenges to malapportioned state legislatures?,Weak before Warren Court; strong by 1960s; remains institutionally contested,https://www.oyez.org/cases/1960/6,Pairs with Reynolds.
US-1962-ENGEL,religion_schools,1962,Supreme Court,judicial_adoption,Engel v. Vitale,Bar official school-sponsored prayer,church-state separation; public schools; pluralism,Should public schools be forbidden from composing and encouraging official prayer?,Likely low in 1930-1950; rises with church-state separation jurisprudence; contested after 1980s,https://www.uscourts.gov/about-federal-courts/educational-resources/educational-activities/first-amendment-activities/engel-v-vitale/facts-and-case-summary-engel-v-vitale,Good cultural-values probe.
US-1962-KEFAUVER-HARRIS,consumer_health,1962,Congress,adoption,Kefauver-Harris Drug Amendments,Require proof of drug efficacy and tighten clinical-trial regulation,expert regulation; consumer safety; pharma accountability,Should federal drug approval require substantial evidence of effectiveness as well as safety?,Medium before thalidomide; high by 1960s,https://www.fda.gov/about-fda/fda-history-research-tools/selected-food-drug-cosmetic-device-and-tobacco-laws,Science/regulatory-state benchmark.
US-1963-EQUAL-PAY,gender_labor,1963,Congress,adoption,Equal Pay Act,Prohibit sex-based wage discrimination for equal work,gender equality; labor markets; family wage,Should federal labor law require equal pay for substantially equal work regardless of sex?,Low-to-medium in 1930; rising by 1960s and 1970s,https://www.eeoc.gov/history/eeoc-history-law,Early statutory gender-rights probe.
US-1963-GIDEON,criminal_procedure,1963,Supreme Court,judicial_adoption,Gideon v. Wainwright,Require counsel for indigent felony defendants in state courts,criminal justice; due process; poverty,Must states provide lawyers to indigent felony defendants?,Low-to-medium before 1960; high after Warren Court due process revolution,https://www.oyez.org/cases/1962/155,Clear rights-expansion case.
US-1964-24TH-AMENDMENT,democracy_civil_rights,1964,constitutional_amendment,adoption,Twenty-fourth Amendment,Prohibit poll taxes in federal elections,voting rights; race; poverty; democratic access,Should the Constitution prohibit poll taxes as a condition for voting in federal elections?,Low in Jim Crow-era text; rising with civil-rights voting-rights mobilization,https://www.reaganlibrary.gov/constitutional-amendments-amendment-24-poll-taxes-barred,Pairs with Harper and Voting Rights Act.
US-1964-CIVIL-RIGHTS-ACT,civil_rights,1964,Congress,adoption,Civil Rights Act of 1964,Ban discrimination in public accommodations employment and federally funded programs,race; sex; markets; federal enforcement,Should Congress prohibit discrimination in public accommodations employment and federally funded programs?,Low in 1930; rising by 1950; high near 1964,https://www.congress.gov/bill/88th-congress/house-bill/7152,Flagship legislative civil-rights probe.
US-1964-ECONOMIC-OPPORTUNITY,poverty_social_policy,1964,Congress,adoption,Economic Opportunity Act of 1964,Create core War on Poverty programs including community action and Job Corps,poverty; federal responsibility; community action; human capital,Should the federal government launch a national anti-poverty program using community action job training and education programs?,Low-to-medium in 1930; rising after New Deal and postwar affluence; high in Great Society period,https://www.congress.gov/bill/88th-congress/senate-bill/2642/text,Major Great Society omission.
US-1964-HEART-ATLANTA,civil_rights_state_capacity,1964,Supreme Court,judicial_validation,Heart of Atlanta Motel v. United States,Uphold public-accommodations provisions of the Civil Rights Act under commerce power,race; public accommodations; commerce power; federal enforcement,Should Congress be able to prohibit racial discrimination by hotels and similar businesses using its commerce power?,Weak before civil-rights and broad-commerce settlement; high after 1964,https://supreme.justia.com/cases/federal/us/379/241/,Court-validation pair for Civil Rights Act of 1964.
US-1964-NYT-SULLIVAN,speech_press,1964,Supreme Court,judicial_adoption,New York Times Co. v. Sullivan,Constitutionalize actual-malice standard for public-official defamation,press freedom; civil-rights protest; public criticism,Should public officials face a high constitutional bar when suing critics for defamation?,Likely lower before 1960; high in rights-era press-protection framework,https://supreme.justia.com/cases/federal/us/376/254/,Useful for free-press attitudes.
US-1964-REYNOLDS,democracy,1964,Supreme Court,judicial_adoption,Reynolds v. Sims,Require roughly equal population in state legislative districts,political equality; rural-urban power,Should both chambers of state legislatures be apportioned on equal-population principles?,Weak in 1930-1950; high by 1960s reapportionment revolution,https://supreme.justia.com/cases/federal/us/377/533/,One-person-one-vote benchmark.
US-1965-ESEA,education,1965,Congress,adoption,Elementary and Secondary Education Act,Provide federal aid to schools serving low-income children,education equity; federal aid; poverty,Should the federal government fund local schools to reduce educational disadvantage?,Low-to-medium in 1930-1950; high in Great Society; contested in accountability era,https://www.ed.gov/sites/ed/files/documents/essa-act-of-1965.pdf,Useful federalism/education policy.
US-1965-GRISWOLD,privacy_family,1965,Supreme Court,judicial_adoption,Griswold v. Connecticut,Recognize married couples' constitutional right to use contraception,privacy; sexuality; marriage; morality,Should a state be barred from prohibiting married couples' use of contraception?,Low in 1930; rising by 1950-1960; high by 1970s,https://www.oyez.org/cases/1964/496,Foundation for later privacy/sexual-autonomy cases.
US-1965-HART-CELLER,immigration,1965,Congress,adoption,Immigration and Nationality Act Amendments of 1965,End national-origins quota system and prioritize family and skills categories,immigration; race; national identity,Should U.S. immigration law abolish national-origin quotas?,Low in 1930-1950; rising by 1960s civil-rights frame,https://history.house.gov/Historical-Highlights/1951-2000/Immigration-and-Nationality-Act-of-1965/,Excellent attitude-shift immigration probe.
US-1965-MEDICARE-MEDICAID,health_social_insurance,1965,Congress,adoption,Social Security Amendments of 1965,Create Medicare and Medicaid,health care; social insurance; poverty; aging,Should the federal government provide health insurance for the elderly and fund medical care for low-income groups?,Low in 1930-1940; rising after Social Security and postwar liberalism; high by 1965,https://www.cms.gov/History/,Core welfare-state expansion.
US-1965-VRA,democracy_civil_rights,1965,Congress,adoption,Voting Rights Act of 1965,Ban racial discrimination in voting and require preclearance in covered jurisdictions,race; democracy; federal enforcement,Should the federal government supervise state election rules where racial disenfranchisement is entrenched?,Low in 1930; rising by 1950; high by 1965; backlash after 1980s-2010s,https://visit.archives.gov/whats-on/explore-exhibits/polls-60-years-voting-rights-act,Pairs with Shelby County.
US-1966-FOIA,transparency,1966,Congress,adoption,Freedom of Information Act,Create enforceable public access to federal records,transparency; administrative accountability,Should citizens have a legal right to obtain federal agency records subject to exemptions?,Medium before 1960; higher with postwar administrative-state skepticism,https://history.house.gov/Historical-Highlights/1951-2000/hh_1966_07_04_FOIA/,Good governance probe.
US-1966-HARPER,democracy_civil_rights,1966,Supreme Court,judicial_adoption,Harper v. Virginia Board of Elections,Invalidate state poll taxes under Equal Protection,voting rights; poverty; race; political equality,Should state poll taxes be unconstitutional because wealth cannot condition the right to vote?,Low in 1930-1950; high in the mid-1960s voting-rights period,https://www.oyez.org/cases/1965/48,Extends Twenty-fourth Amendment principle to state elections.
US-1966-MIRANDA,criminal_procedure,1966,Supreme Court,judicial_adoption,Miranda v. Arizona,Require warnings before custodial interrogation,police power; defendant rights; coercion,Should police have to warn suspects of silence and counsel rights before interrogation?,Low in 1930-1950; high mid-1960s; backlash after crime-politics shift,https://www.oyez.org/cases/1965/759,Classic Warren Court attitude probe.
US-1967-KATZ,privacy_surveillance,1967,Supreme Court,judicial_adoption,Katz v. United States,Require warrant protection for electronic eavesdropping based on reasonable privacy expectations,privacy; technology; policing,Should wiretapping a public phone booth count as a Fourth Amendment search requiring a warrant?,Low-to-medium before electronic privacy frame; high after 1967; contested in digital era,https://www.oyez.org/cases/1967/35,Bridge to FISA and digital privacy.
US-1967-LOVING,civil_rights_family,1967,Supreme Court,judicial_adoption,Loving v. Virginia,Invalidate bans on interracial marriage,race; marriage; equality; privacy,Should state bans on interracial marriage be unconstitutional?,Very low in 1930; rising by 1950-1960; high after 1967,https://www.oyez.org/cases/1966/395,Strong social-attitude benchmark.
US-1968-FAIR-HOUSING,civil_rights_housing,1968,Congress,adoption,Fair Housing Act,Ban most housing discrimination and assign HUD enforcement,race; markets; neighborhood choice,Should federal law prohibit discrimination in housing sales rentals and financing?,Low in 1930-1950; rising in civil-rights era; high after urban unrest/open housing movement,https://www.hud.gov/aboutus/history,Housing-specific civil-rights probe.
US-1968-GUN-CONTROL,guns_crime,1968,Congress,adoption,Gun Control Act of 1968,Regulate interstate firearm commerce and prohibited purchasers,guns; crime; federal regulation; public safety,Should federal law restrict firearm sales to certain categories and regulate interstate gun commerce?,Rises after assassinations and crime concerns; contested strongly after 1970s,https://www.atf.gov/rules-and-regulations/laws-alcohol-tobacco-firearms-and-explosives/gun-control-act/brady-,Pairs with Heller/McDonald.
