item_id,source,source_question_id,question_uid,question_text,answer_options,focal_answer,direction_note,value_construct,paired_event_ids,y0,y1,n_years
gss_racmar,gss,racmar,gss:racmar,Do you think there should be laws against marriages between Blacks and whites?,Yes|No,Yes,"Yes = favors a legal ban on interracial marriage (declines 37%->10%, 1972-2002).",moral_universalism_equal_citizenship,US-1967-LOVING,1972,2002,21
gss_homosex,gss,homosex,gss:homosex,"What about sexual relations between two adults of the same sex — do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",Always wrong|Almost always wrong|Wrong only sometimes|Not wrong at all,Always wrong,'Always wrong' tracks traditional morality; falls 73%->34% (1973-2024).,traditional_morality_and_social_order,US-2003-LAWRENCE|US-2015-OBERGEFELL|US-2020-BOSTOCK,1973,2024,30
gss_colhomo,gss,colhomo,gss:colhomo,"Should a man who admits that he is a homosexual be allowed to teach in a college or university, or not?","Yes, allowed to teach|Not allowed","Yes, allowed to teach",Civil-liberties framing of gay rights.,civil_liberties_and_due_process,US-2003-LAWRENCE|US-2015-OBERGEFELL,1973,2021,28
gss_abany,gss,abany,gss:abany,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,Yes|No,Yes,"The maximal abortion-rights item (37%->58%, 1977-2024).",traditional_morality_and_social_order,US-1973-ROE|US-2022-DOBBS,1977,2024,29
gss_abhlth,gss,abhlth,gss:abhlth,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,Yes|No,Yes,High-consensus abortion item (~90% yes throughout) — a level anchor.,traditional_morality_and_social_order,US-1973-ROE,1972,2024,34
gallup_971,gallup,971,gallup:4:971,"Do you think abortions should be legal under any circumstances, legal only under certain circumstances, or illegal in all circumstances?",Legal under any circumstances|Legal only under certain circumstances|Illegal in all circumstances,Legal under any circumstances,Modern-era abortion legality (2001-2025).,traditional_morality_and_social_order,US-1973-ROE|US-2022-DOBBS,2001,2025,25
gss_fepol,gss,fepol,gss:fepol,Tell me if you agree or disagree with this statement: Most men are better suited emotionally for politics than are most women.,Agree|Disagree,Disagree,"Disagree = endorses gender equality in politics (53%->82%, 1974-2024).",moral_universalism_equal_citizenship,US-1972-TITLE-IX,1974,2024,28
gss_fepres,gss,fepres,gss:fepres,"If your party nominated a woman for President, would you vote for her if she were qualified for the job?",Yes|No,Yes,'wouldnt vote' excluded as non-substantive. 1972-2010 only.,moral_universalism_equal_citizenship,US-1972-TITLE-IX,1972,2010,19
gss_cappun,gss,cappun,gss:cappun,Do you favor or oppose the death penalty for persons convicted of murder?,Favor|Oppose,Favor,NON-MONOTONE: support peaks ~1990s then falls — tests reversal tracking.,order_security_and_punishment,US-1972-FURMAN|US-1976-GREGG,1974,2024,33
gallup_1020,gallup,1020,gallup:4:1020,Are you in favor of the death penalty for a person convicted of murder?,"Yes, in favor|No, not in favor","Yes, in favor",Gallup twin of cappun (2000-2025).,order_security_and_punishment,US-1972-FURMAN|US-1976-GREGG,2000,2025,26
gss_gunlaw,gss,gunlaw,gss:gunlaw,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun?,Favor|Oppose,Favor,Gun permits; stable-high support (~70%).,order_security_and_punishment,US-1968-GUN-CONTROL|US-1993-BRADY|US-2022-BIPARTISAN-SAFER-COMMUNITIES,1972,2024,32
