item_id,source,source_question_id,question_uid,question_text,answer_options,focal_answer,value_construct,paired_event_ids,question_type,n_years,y0,y1
gallup_1_0,gallup,0,gallup:1:0,Do you approve or disapprove of the job performance of the leadership of this country?,Disapprove|Approve,Disapprove,,,binary,15,2006,2020
gallup_1_10,gallup,10,gallup:1:10,Do you live in . . . ?,Urban|Rural,Urban,,,binary,15,2006,2020
gallup_1_11,gallup,11,gallup:1:11,What is your highest completed level of education?,Less than tertiary education|Tertiary complete|Elementary school or less,Less than tertiary education,,,categorical,14,2007,2020
gallup_1_12,gallup,12,gallup:1:12,Do you feel safe walking alone at night in the city or area where you live?,Yes|No,Yes,,,binary,15,2006,2020
gallup_1_13,gallup,13,gallup:1:13,"In the city or area where you live, do you have confidence in the local police force, or not?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_1327,gallup,1327,gallup:1:1327,"Do you believe that women in this country are treated with respect and dignity, or not?",Yes|No,Yes,,,binary,6,2015,2020
gallup_1_1328,gallup,1328,gallup:1:1328,"Have you used the Internet in the past seven days, whether on a mobile phone, a computer, or some other device?",Yes|(No access to internet)|No,Yes,,,categorical,5,2016,2020
gallup_1_1329,gallup,1329,gallup:1:1329,Can your mobile phone be used to access the Internet? (asked of those who have a mobile phone),Yes|No|(Do not have mobile phone),Yes,,,categorical,4,2017,2020
gallup_1_14,gallup,14,gallup:1:14,"Within the last 12 months, have you had money or property stolen from you or another household member?",No|Yes,No,,,binary,15,2006,2020
gallup_1_15,gallup,15,gallup:1:15,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,No|Yes,No,,,binary,15,2006,2020
gallup_1_16,gallup,16,gallup:1:16,Have there been times in the past 12 months when you did not have enough money to provide adequate shelter or housing for you and your family?,No|Yes,No,,,binary,15,2006,2020
gallup_1_17,gallup,17,gallup:1:17,"In the city or area where you live, are you satisfied or dissatisfied with the public transportation systems?",Satisfied|Dissatisfied,Satisfied,,,binary,15,2006,2020
gallup_1_18,gallup,18,gallup:1:18,"In the city or area where you live, are you satisfied or dissatisfied with the roads and highways?",Satisfied|Dissatisfied,Satisfied,,,binary,15,2006,2020
gallup_1_185,gallup,185,gallup:1:185,Do you approve or disapprove of the job performance of the leadership of the United Kingdom?,Approve|Disapprove,Approve,,,binary,6,2006,2011
gallup_1_19,gallup,19,gallup:1:19,"In the city or area where you live, are you satisfied or dissatisfied with the quality of air?",Satisfied|Dissatisfied,Satisfied,,,binary,15,2006,2020
gallup_1_190,gallup,190,gallup:1:190,"The Employee Engagement Index classifies respondents into three categories: engaged employees, not engaged employees, and actively disengaged employees.",Not Engaged|Engaged|Actively Disengaged,Not Engaged,,,categorical,7,2012,2020
gallup_1_20,gallup,20,gallup:1:20,"In the city or area where you live, are you satisfied or dissatisfied with the quality of water?",Satisfied|Dissatisfied,Satisfied,,,binary,15,2006,2020
gallup_1_21,gallup,21,gallup:1:21,"In the city or area where you live, are you satisfied or dissatisfied with the availability of good, affordable housing?",Satisfied|Dissatisfied,Satisfied,,,binary,14,2007,2020
gallup_1_22,gallup,22,gallup:1:22,"In the city or area where you live, are you satisfied or dissatisfied with the availability of quality healthcare?",Satisfied|Dissatisfied,Satisfied,,,binary,14,2007,2020
gallup_1_23,gallup,23,gallup:1:23,"In this country, do you have confidence in each of the following, or not? How about national government?",No|Yes,No,,,binary,15,2006,2020
gallup_1_237,gallup,237,gallup:1:237,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. You like what you do every day.- Gallup-Sharecare",5. Strongly agree|4|3|2|1. Strongly disagree,5. Strongly agree,,,categorical,3,2013,2015
gallup_1_238,gallup,238,gallup:1:238,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. You learn or do something interesting every day.- Gallup-Sharecare",5. Strongly agree|4|3|2|1. Strongly disagree,5. Strongly agree,,,categorical,3,2013,2015
gallup_1_239,gallup,239,gallup:1:239,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. Someone in your life always encourages you to be healthy.- Gallup Healthways",5. Strongly agree|4|3|2|1. Strongly disagree,5. Strongly agree,,,categorical,3,2013,2015
gallup_1_24,gallup,24,gallup:1:24,"In this country, do you have confidence in each of the following, or not? How about the military?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_240,gallup,240,gallup:1:240,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. Your friends and family give you positive energy every day.- Gallup-Sharecare",5. Strongly agree|4|3|2|1. Strongly disagree,5. Strongly agree,,,categorical,3,2013,2015
gallup_1_241,gallup,241,gallup:1:241,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. You have enough money to do everything you want to do.- Gallup-Sharecare",3|4|1. Strongly disagree|2|5. Strongly agree,3,,,categorical,3,2013,2015
